id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt
